link,title,datetime,abstract
/realtimenews/20230314004348-260407,側翼拿罹癌攻擊鍾沛君 趙少康點名綠營這群人：不敢管？,2023-03-14 17:39,國民黨台北市議員鍾沛君13日發文指出，先前帳號被臉書下架的親綠牙醫史書華，竟拿她曾患癌症的病史做文章，此事引爆網友怒火，痛批史言行失當。中廣董事長趙少康也質疑，民進黨放任側翼粉專到處生事，是管不了？還
/realtimenews/20230314004313-260407,2024「他當選」大陸恐來硬的？學者驚人斷言兩岸局勢,2023-03-14 17:23,2024總統大選，藍綠白都想奪得總統寶座，以現階段來看，民進黨最有可能推舉副總統賴清德出戰，民眾黨主席柯文哲也是勢在必行，國民黨的人選卻遲遲未決定。對此，淡江大學中國大陸研究所榮譽教授趙春山今（14）
/realtimenews/20230314003856-260407,二膽兵在對岸恐成「政治博弈延長賽」 藍委喊話蔡英文出面,2023-03-14 16:49,金防部二膽島陳姓上兵9日離營，陸委會主委邱太三13日證實，該兵目前在中國廈門，對此，國民黨立委江啟臣表示，現在人在對岸，等於中共擁有了主宰一切的權力，這件事情已經不是單純意外或是阿兵哥漂到對岸，已經變
/realtimenews/20230314003456-260407,高雄人因「這事」怒嗆踹共 陳其邁親上火線重申立場,2023-03-14 16:46,全國最大儲能場將設在高雄市人口最多的鳳山區，引發居民恐慌，藍綠也齊聲要求暫緩。業者預計18、19日辦理分里說明會，卻要求查看身分證進場，並拒絕媒體採訪，鄉親痛批黑箱，更怒喊要市長陳其邁踹共。對此，陳其
/realtimenews/20230314003966-260407,提防空避難「3訴求」 藍委酸：全動法公告時間就能做了,2023-03-14 16:43,國防部去年4月公布「全民國防手冊」，挨轟類似8年抗戰時，而如今過了1年，國民黨立委江啟臣詢問，全民國防手冊研商好了嗎？國防部長邱國正坦言，「還沒」；江啟臣痛批，全民國防手冊還沒有像樣的東西，還搞個全動
/realtimenews/20230314003923-260407,雲林農水路用50年殘破不堪 張麗善籲中央超收稅收給農民活路,2023-03-14 16:40,雲林縣農地重劃超過60年歷史的農水路，迄今還有377公頃未更新，很多仍是坎坷的級配路面；重劃已50年之久的5213公頃也亟需修繕，中央僅補助每公頃25萬3000元遠不及成本，縣長張麗善呼籲中央以超收的
/realtimenews/20230314003846-260407,台灣綠能開發弊案叢生 立委：勿讓官商勾結成淨零轉型絆腳石,2023-03-14 16:38,針對台灣綠能開發政策欠缺法治、資訊不透明，導致弊案叢生，時代力量立法院黨團於14召開「支持能源轉型 拒絕黑金橫行」記者會，呼籲經濟部及能源局別一再放水，讓黑金份子從中牟利分贓，儘速檢討相關法規制度之不
/realtimenews/20230314003907-260407,故宮國寶遭駭客入侵 邱臣遠批數位部失職失能,2023-03-14 16:29,國立故宮博物館遭媒體爆料有數千件國寶數位圖檔遭駭客入侵，甚至在百度、淘寶等網站賤賣或供人免費下載，行政院長陳建仁答詢時坦承確有此事。對此，民眾黨立委邱臣遠14日受訪時痛批數位發展部失職失能，「部長唐鳳
/realtimenews/20230314003866-260407,基隆義消總隊長交接 謝國樑期勉守護市民安全,2023-03-14 16:29,基隆市政府14日舉行義消總隊總隊長布達典禮，市長謝國樑宣布長期參與義消工作的基隆市議員曾紀嚴，擔任新任總隊長一職，並頒發聘書，及感謝前任總隊長林耀宗的辛勤付出，期勉在新任曾總隊長率領之下，齊心協助警消
/realtimenews/20230314003795-260407,議事堂問「我穿得漂亮嗎」被酸爆 鄉民女神駁：斷章取義,2023-03-14 16:08,有「鄉民女神」之稱的民進黨桃園市議員黃瓊慧原以網紅「qn黃拉結」成名，上周在市議會臨時會質詢時，問道：「請問各位局處首長，我今天穿這樣可以嗎？覺得我漂亮的舉手」，影片被截圖瘋傳，網友炮轟根本是「大花瓶
